Address,Name,Email
Alder Castle House 10 Noble Street London EC2V 7JX,DP9,jake.tubb@dp9.co.uk
123 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers London Ltd,admin@thomsonbrothers.co.uk
200 Aldersgate Street London EC1A 4HD,Savills (UK) Limited,alistair.ingram@savills.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
100 Fenchurch Street London EC3M 5JD,JLL,Barclays.Planning@jll.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,kellis@geraldeve.com
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,tom.hawkley@dp9.co.uk
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,desiree.coker@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,Kellis@geraldeve.com
Custom House 20 Lower Thames Street London EC3R 6EA,Montagu Evans,gareth.fox@montagu-evans.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
7 Devonshire Square London EC2M 4YH,DP9 Ltd,heloise.whiteman@dp9.co.uk
Devonshire House 3 Bishopsgate Plaza London EC2M 4AJ,DP9 Ltd,elisha.robjant@dp9.co.uk
9 Devonshire Square London EC2M 4YF,Left City,sd@leftcity.org
155 Bishopsgate London EC2M 3TQ,DP9,zoe.smythe@dp9.co.uk
85 London Wall London EC2M 7AD,Alfredo Gutierrez,alfredo@laa-architecture.com
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
120 Cannon Street London EC4N 6AS,Nothing Is Not Nothing,ruben@nothingisnotnothing.com
75 King William Street London EC4N 7BE,Fabric (eu) Ltd,amy.johnson@fabriceultd.co.uk
6 St Andrew Street London EC4A 3AE,DP9 Ltd,charlotte.allen@dp9.co.uk
102 Cheapside London EC2V 6DT,JCDecaux UK Limited,martin.stephens@jcdecaux.com
102 Cheapside London EC2V 6DT,JCDecaux,martin.stephens@jcdecaux.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
1 Silk Street London EC2Y 8AL,DP9 Ltd,tom.hawkley@dp9.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
15 Bishopsgate London EC2N 3AR,Colliers,philip.sweeney@colliers.com
Merchant Taylors Hall 30 Threadneedle Street London EC2R 8JB,Caroe Architecture Ltd,mary.duckham@caroe.biz
80 Farringdon Street London EC4A 4BL,Planning Potential Ltd.,james.baker@planningpotential.co.uk
10 Fleet Place London EC4M 7RB,CBRE UK &amp; Ireland Project Management &amp; Building Consultancy,Ryan.J.Lewis@cbre.com
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
5 Chancery Lane London WC2A 1LG,Rapleys,annie.taylor@rapleys.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
38 Chancery Lane London WC2A 1EN,Tatehindle,sarah.brown@tatehindle.co.uk
38 Chancery Lane London WC2A 1EN,Tatehindle,sarah.brown@tatehindle.co.uk
37 Fleet Street London EC4Y 1BT,ADAM Architecture,gemma.mankelow@adamarchitecture.com
